Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
250.0,0.1171875,4325.472496767866,256.54990212459296,3679.6395357477268
252.5,0.125,4350.849418808486,237.91749304404132,3752.9026726007305
255.0,0.0859375,4374.239196821149,218.08152571913388,3667.1387085024962
257.5,0.1484375,4394.427364797524,262.10219854758697,3560.5019103401864
260.0,0.15625,4419.353220539662,244.29280955921655,3677.288527972276
262.5,0.21875,4439.03646105114,251.4098520710593,3889.9973465171533
265.0,0.1484375,4470.026674144608,261.658834433467,3863.1930491541607
267.5,0.1328125,4503.419301199646,262.6792536585922,3880.6295591372836
270.0,0.2578125,4479.172291019945,277.40169721809855,3881.9444708633782
272.5,0.234375,4489.3657001812035,262.53053336424034,3814.534827041469
275.0,0.2734375,4556.240050911106,278.28934241825056,3886.2360922321423
277.5,0.1796875,4571.940056211995,293.1559602529905,3840.5437557485784
280.0,0.3828125,4608.406868244996,304.6389320926187,3895.8635032917373
282.5,0.328125,4640.042945753384,308.35700362962905,3894.224821879101
285.0,0.328125,4663.479133854548,268.8110583134788,4006.061309802444
287.5,0.3125,4659.94656260413,314.69610263060116,4008.3832381062784
290.0,0.3203125,4668.03204809514,306.5736732410215,3884.2266005769743
292.5,0.359375,4731.381586821413,347.8693778473852,3832.900632511286
295.0,0.34375,4747.2101955652215,283.20425431525905,3987.425145679359
297.5,0.3984375,4771.053133997074,286.74358403023325,3968.947788974352
300.0,0.4375,4781.1441069165585,302.91061016450294,4112.578428182645
302.5,0.4375,4793.48919229034,332.7564848926138,4018.027247669792
305.0,0.40625,4769.934045949681,303.84352882462565,4083.098098535762
307.5,0.4609375,4833.329130149493,314.0031690446825,4147.428418171001
310.0,0.453125,4856.356160633323,354.85171268495645,3701.7896518293383
312.5,0.515625,4833.306594539387,305.72727052761053,3933.996213682627
315.0,0.53125,4865.119317532181,348.6653745087551,3663.2794051033434
317.5,0.46875,4942.423956445279,351.0737705885628,4243.756060304415
320.0,0.4921875,4940.0555819305255,310.5957062803268,4244.436931399263
322.5,0.5078125,4989.760078547508,342.8408987673634,4136.329741190273
325.0,0.5546875,5025.692444930644,368.65371505194486,4018.382625096523
327.5,0.625,5033.900216867656,322.30454934598436,4216.98267112398
330.0,0.5546875,5032.5899489193125,365.9398554315851,4021.1791675093027
332.5,0.5859375,5050.505844828922,361.3836178499148,4093.3480971483623
335.0,0.6796875,5126.598114121585,328.1390308354053,4295.612160775838
337.5,0.5546875,5100.433611989618,378.72168211051206,3941.1567803735015
340.0,0.6484375,5139.548911068592,367.46231522235337,4207.069264340444
342.5,0.671875,5149.488736157964,369.4628973541893,4170.122894335778
345.0,0.6328125,5167.780258640483,359.27249340725655,4155.364473027839
347.5,0.6953125,5207.621618392325,373.5053633215869,4410.560910604687
350.0,0.6796875,5204.893866108929,425.91657088319005,4011.168453201786
352.5,0.6875,5207.844730733235,323.3440825682769,4143.173583941512
355.0,0.6796875,5180.973248323519,379.24363236999096,4335.666068865899
357.5,0.71875,5227.725890339472,405.59604544502855,4186.967061189127
360.0,0.6953125,5387.2164526499455,426.3317739735454,3900.4205757805175
362.5,0.765625,5333.039411069765,373.75986561059926,4322.707432456875
365.0,0.75,5343.32297234943,402.5482976212423,4316.134548839913
367.5,0.6953125,5361.58984001711,368.17998048168175,4477.531656836145
370.0,0.734375,5332.370933417374,376.99019208329923,4341.004668570531
372.5,0.75,5321.189761692324,418.784155554086,4190.654089003299
375.0,0.78125,5358.358654850015,393.3289771483244,4392.8211641939815
377.5,0.7890625,5380.473695006448,380.89105627625486,4446.159401369179
380.0,0.84375,5419.536957222459,379.0656122339387,4183.5186172850445
382.5,0.8359375,5389.021768309995,492.7868319950422,4331.671517089853
385.0,0.8515625,5399.318895641228,416.58285318498895,4300.458432377414
387.5,0.78125,5491.218132747278,441.31692432276486,4336.822180355815
390.0,0.84375,5484.568721883618,471.53279313040184,4334.0121797205065
392.5,0.8828125,5541.04269029667,408.00626123985666,4388.218670356684
